コード,銘柄名,33業種コード,33業種区分,規模コード,規模区分
4452,花王,3200,化学,1,TOPIX Core30
4461,第一工業製薬,3200,化学,7,TOPIX Small 2
4462,石原ケミカル,3200,化学,7,TOPIX Small 2
4463,日華化学,3200,化学,7,TOPIX Small 2
4465,ニイタカ,3200,化学,7,TOPIX Small 2
4471,三洋化成工業,3200,化学,6,TOPIX Small 1
4481,ベース,5250,情報・通信業,7,TOPIX Small 2
4483,ＪＭＤＣ,5250,情報・通信業,7,TOPIX Small 2
4502,武田薬品工業,3250,医薬品,1,TOPIX Core30
4503,アステラス製薬,3250,医薬品,1,TOPIX Core30
4506,大日本住友製薬,3250,医薬品,4,TOPIX Mid400
4507,塩野義製薬,3250,医薬品,2,TOPIX Large70
4512,わかもと製薬,3250,医薬品,7,TOPIX Small 2
4516,日本新薬,3250,医薬品,4,TOPIX Mid400
4519,中外製薬,3250,医薬品,2,TOPIX Large70
4521,科研製薬,3250,医薬品,4,TOPIX Mid400
4523,エーザイ,3250,医薬品,2,TOPIX Large70
4526,理研ビタミン,3050,食料品,7,TOPIX Small 2
4527,ロート製薬,3250,医薬品,4,TOPIX Mid400
4528,小野薬品工業,3250,医薬品,2,TOPIX Large70
4530,久光製薬,3250,医薬品,4,TOPIX Mid400
4531,有機合成薬品工業,3200,化学,7,TOPIX Small 2
4534,持田製薬,3250,医薬品,4,TOPIX Mid400
4536,参天製薬,3250,医薬品,4,TOPIX Mid400
4538,扶桑薬品工業,3250,医薬品,7,TOPIX Small 2
4539,日本ケミファ,3250,医薬品,7,TOPIX Small 2
4540,ツムラ,3250,医薬品,4,TOPIX Mid400
4541,日医工,3250,医薬品,6,TOPIX Small 1
4543,テルモ,3750,精密機器,2,TOPIX Large70
4544,Ｈ．Ｕ．グループホールディングス,9050,サービス業,4,TOPIX Mid400
4547,キッセイ薬品工業,3250,医薬品,6,TOPIX Small 1
4548,生化学工業,3250,医薬品,7,TOPIX Small 2
4549,栄研化学,3250,医薬品,6,TOPIX Small 1
4550,日水製薬,3250,医薬品,7,TOPIX Small 2
4551,鳥居薬品,3250,医薬品,6,TOPIX Small 1
4552,ＪＣＲファーマ,3250,医薬品,4,TOPIX Mid400
4553,東和薬品,3250,医薬品,6,TOPIX Small 1
4554,富士製薬工業,3250,医薬品,7,TOPIX Small 2
4559,ゼリア新薬工業,3250,医薬品,6,TOPIX Small 1
4568,第一三共,3250,医薬品,1,TOPIX Core30
4569,キョーリン製薬ホールディングス,3250,医薬品,6,TOPIX Small 1
4574,大幸薬品,3250,医薬品,6,TOPIX Small 1
4577,ダイト,3250,医薬品,6,TOPIX Small 1
4578,大塚ホールディングス,3250,医薬品,2,TOPIX Large70
4581,大正製薬ホールディングス,3250,医薬品,4,TOPIX Mid400
4587,ペプチドリーム,3250,医薬品,4,TOPIX Mid400
4611,大日本塗料,3200,化学,7,TOPIX Small 2
4612,日本ペイントホールディングス,3200,化学,4,TOPIX Mid400
4613,関西ペイント,3200,化学,4,TOPIX Mid400
4615,神東塗料,3200,化学,7,TOPIX Small 2
4617,中国塗料,3200,化学,6,TOPIX Small 1
4619,日本特殊塗料,3200,化学,7,TOPIX Small 2
4620,藤倉化成,3200,化学,7,TOPIX Small 2
4626,太陽ホールディングス,3200,化学,6,TOPIX Small 1
4631,ＤＩＣ,3200,化学,4,TOPIX Mid400
4633,サカタインクス,3200,化学,6,TOPIX Small 1
4634,東洋インキＳＣホールディングス,3200,化学,6,TOPIX Small 1
4636,Ｔ＆Ｋ　ＴＯＫＡ,3200,化学,7,TOPIX Small 2
4641,アルプス技研,9050,サービス業,7,TOPIX Small 2
4651,サニックス,9050,サービス業,7,TOPIX Small 2
4653,ダイオーズ,9050,サービス業,7,TOPIX Small 2
4658,日本空調サービス,9050,サービス業,7,TOPIX Small 2
4661,オリエンタルランド,9050,サービス業,2,TOPIX Large70
4662,フォーカスシステムズ,5250,情報・通信業,7,TOPIX Small 2
4665,ダスキン,9050,サービス業,4,TOPIX Mid400
4666,パーク２４,8050,不動産業,4,TOPIX Mid400
4668,明光ネットワークジャパン,9050,サービス業,7,TOPIX Small 2
4671,ファルコホールディングス,9050,サービス業,7,TOPIX Small 2
4674,クレスコ,5250,情報・通信業,7,TOPIX Small 2
4676,フジ・メディア・ホールディングス,5250,情報・通信業,4,TOPIX Mid400
4678,秀英予備校,9050,サービス業,7,TOPIX Small 2
4679,田谷,9050,サービス業,7,TOPIX Small 2
4680,ラウンドワン,9050,サービス業,6,TOPIX Small 1
4681,リゾートトラスト,9050,サービス業,4,TOPIX Mid400
4684,オービック,5250,情報・通信業,4,TOPIX Mid400
4686,ジャストシステム,5250,情報・通信業,4,TOPIX Mid400
4687,ＴＤＣソフト,5250,情報・通信業,7,TOPIX Small 2
4689,Ｚホールディングス,5250,情報・通信業,2,TOPIX Large70
4694,ビー・エム・エル,9050,サービス業,6,TOPIX Small 1
4704,トレンドマイクロ,5250,情報・通信業,4,TOPIX Mid400
4708,りらいあコミュニケーションズ,9050,サービス業,6,TOPIX Small 1
4709,ＩＤホールディングス,5250,情報・通信業,7,TOPIX Small 2
4714,リソー教育,9050,サービス業,6,TOPIX Small 1
4716,日本オラクル,5250,情報・通信業,4,TOPIX Mid400
4718,早稲田アカデミー,9050,サービス業,7,TOPIX Small 2
4719,アルファシステムズ,5250,情報・通信業,7,TOPIX Small 2
4722,フューチャー,5250,情報・通信業,6,TOPIX Small 1
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,5250,情報・通信業,7,TOPIX Small 2
4726,ＳＢテクノロジー,5250,情報・通信業,7,TOPIX Small 2
4728,トーセ,5250,情報・通信業,7,TOPIX Small 2
4732,ユー・エス・エス,9050,サービス業,4,TOPIX Mid400
4733,オービックビジネスコンサルタント,5250,情報・通信業,6,TOPIX Small 1
4739,伊藤忠テクノソリューションズ,5250,情報・通信業,4,TOPIX Mid400
4743,アイティフォー,5250,情報・通信業,7,TOPIX Small 2
4745,東京個別指導学院,9050,サービス業,7,TOPIX Small 2
4746,東計電算,5250,情報・通信業,7,TOPIX Small 2
4751,サイバーエージェント,9050,サービス業,4,TOPIX Mid400
4755,楽天グループ,9050,サービス業,4,TOPIX Mid400
4762,エックスネット,5250,情報・通信業,7,TOPIX Small 2
4763,クリーク・アンド・リバー社,9050,サービス業,7,TOPIX Small 2
4765,モーニングスター,9050,サービス業,7,TOPIX Small 2
4767,テー・オー・ダブリュー,9050,サービス業,7,TOPIX Small 2
4768,大塚商会,5250,情報・通信業,4,TOPIX Mid400
4776,サイボウズ,5250,情報・通信業,6,TOPIX Small 1
4792,山田コンサルティンググループ,9050,サービス業,7,TOPIX Small 2
4801,セントラルスポーツ,9050,サービス業,7,TOPIX Small 2
4809,パラカ,8050,不動産業,7,TOPIX Small 2
4812,電通国際情報サービス,5250,情報・通信業,6,TOPIX Small 1
4813,ＡＣＣＥＳＳ,5250,情報・通信業,6,TOPIX Small 1
4819,デジタルガレージ,5250,情報・通信業,6,TOPIX Small 1
4820,イーエムシステムズ,5250,情報・通信業,7,TOPIX Small 2
4825,ウェザーニューズ,5250,情報・通信業,7,TOPIX Small 2
4826,ＣＩＪ,5250,情報・通信業,7,TOPIX Small 2
4828,ビジネスエンジニアリング,5250,情報・通信業,7,TOPIX Small 2
4829,日本エンタープライズ,5250,情報・通信業,7,TOPIX Small 2
4839,ＷＯＷＯＷ,5250,情報・通信業,7,TOPIX Small 2
4845,スカラ,5250,情報・通信業,7,TOPIX Small 2
4847,インテリジェント　ウェイブ,5250,情報・通信業,7,TOPIX Small 2
4848,フルキャストホールディングス,9050,サービス業,6,TOPIX Small 1
4849,エン・ジャパン,9050,サービス業,6,TOPIX Small 1
4886,あすか製薬ホールディングス,3250,医薬品,7,TOPIX Small 2
4887,サワイグループホールディングス,3250,医薬品,4,TOPIX Mid400
4901,富士フイルムホールディングス,3200,化学,2,TOPIX Large70
4902,コニカミノルタ,3650,電気機器,4,TOPIX Mid400
4911,資生堂,3200,化学,2,TOPIX Large70
4912,ライオン,3200,化学,4,TOPIX Mid400
4914,高砂香料工業,3200,化学,7,TOPIX Small 2
4917,マンダム,3200,化学,6,TOPIX Small 1
4919,ミルボン,3200,化学,4,TOPIX Mid400
4921,ファンケル,3200,化学,4,TOPIX Mid400
4922,コーセー,3200,化学,4,TOPIX Mid400
4923,コタ,3200,化学,7,TOPIX Small 2
4926,シーボン,3200,化学,7,TOPIX Small 2
4927,ポーラ・オルビスホールディングス,3200,化学,4,TOPIX Mid400
4928,ノエビアホールディングス,3200,化学,6,TOPIX Small 1
4929,アジュバンホールディングス,3200,化学,7,TOPIX Small 2
4931,新日本製薬,3200,化学,7,TOPIX Small 2
4951,エステー,3200,化学,7,TOPIX Small 2
4955,アグロ　カネショウ,3200,化学,7,TOPIX Small 2
4956,コニシ,3200,化学,7,TOPIX Small 2
4958,長谷川香料,3200,化学,6,TOPIX Small 1
4963,星光ＰＭＣ,3200,化学,7,TOPIX Small 2
4967,小林製薬,3200,化学,4,TOPIX Mid400
4968,荒川化学工業,3200,化学,7,TOPIX Small 2
4971,メック,3200,化学,6,TOPIX Small 1
4973,日本高純度化学,3200,化学,7,TOPIX Small 2
4974,タカラバイオ,3200,化学,6,TOPIX Small 1
4975,ＪＣＵ,3200,化学,6,TOPIX Small 1
4977,新田ゼラチン,3200,化学,7,TOPIX Small 2
4979,ＯＡＴアグリオ,3200,化学,7,TOPIX Small 2
4980,デクセリアルズ,3200,化学,6,TOPIX Small 1
4985,アース製薬,3200,化学,6,TOPIX Small 1
4992,北興化学工業,3200,化学,7,TOPIX Small 2
4994,大成ラミック,3200,化学,7,TOPIX Small 2
4996,クミアイ化学工業,3200,化学,6,TOPIX Small 1
4997,日本農薬,3200,化学,7,TOPIX Small 2
5009,富士興産,6050,卸売業,7,TOPIX Small 2
5011,ニチレキ,3300,石油・石炭製品,7,TOPIX Small 2
5013,ユシロ化学工業,3300,石油・石炭製品,7,TOPIX Small 2
5015,ビーピー・カストロール,3300,石油・石炭製品,7,TOPIX Small 2
5017,富士石油,3300,石油・石炭製品,7,TOPIX Small 2
5018,ＭＯＲＥＳＣＯ,3300,石油・石炭製品,7,TOPIX Small 2
5019,出光興産,3300,石油・石炭製品,4,TOPIX Mid400
5020,ＥＮＥＯＳホールディングス,3300,石油・石炭製品,2,TOPIX Large70
5021,コスモエネルギーホールディングス,3300,石油・石炭製品,4,TOPIX Mid400
5074,テスホールディングス,2050,建設業,7,TOPIX Small 2
5076,インフロニア・ホールディングス,2050,建設業,4,TOPIX Mid400
5101,横浜ゴム,3350,ゴム製品,4,TOPIX Mid400
5105,ＴＯＹＯ　ＴＩＲＥ,3350,ゴム製品,4,TOPIX Mid400
5108,ブリヂストン,3350,ゴム製品,2,TOPIX Large70
5110,住友ゴム工業,3350,ゴム製品,4,TOPIX Mid400
5121,藤倉コンポジット,3350,ゴム製品,7,TOPIX Small 2
5122,オカモト,3350,ゴム製品,6,TOPIX Small 1
5142,アキレス,3200,化学,7,TOPIX Small 2
5185,フコク,3350,ゴム製品,7,TOPIX Small 2
5186,ニッタ,3350,ゴム製品,7,TOPIX Small 2
5187,クリエートメディック,3750,精密機器,7,TOPIX Small 2
5191,住友理工,3350,ゴム製品,7,TOPIX Small 2
5192,三ツ星ベルト,3350,ゴム製品,7,TOPIX Small 2
5195,バンドー化学,3350,ゴム製品,7,TOPIX Small 2
5201,ＡＧＣ,3400,ガラス・土石製品,4,TOPIX Mid400
5202,日本板硝子,3400,ガラス・土石製品,6,TOPIX Small 1
5204,石塚硝子,3400,ガラス・土石製品,7,TOPIX Small 2
5208,有沢製作所,3200,化学,6,TOPIX Small 1
5210,日本山村硝子,3400,ガラス・土石製品,7,TOPIX Small 2
5214,日本電気硝子,3400,ガラス・土石製品,4,TOPIX Mid400
5218,オハラ,3400,ガラス・土石製品,7,TOPIX Small 2
5232,住友大阪セメント,3400,ガラス・土石製品,4,TOPIX Mid400
5233,太平洋セメント,3400,ガラス・土石製品,4,TOPIX Mid400
5261,リソルホールディングス,9050,サービス業,7,TOPIX Small 2
5262,日本ヒューム,3400,ガラス・土石製品,7,TOPIX Small 2
5269,日本コンクリート工業,3400,ガラス・土石製品,7,TOPIX Small 2
5273,三谷セキサン,3400,ガラス・土石製品,7,TOPIX Small 2
5288,アジアパイルホールディングス,3400,ガラス・土石製品,7,TOPIX Small 2
5301,東海カーボン,3400,ガラス・土石製品,4,TOPIX Mid400
5302,日本カーボン,3400,ガラス・土石製品,6,TOPIX Small 1
5310,東洋炭素,3400,ガラス・土石製品,6,TOPIX Small 1
5331,ノリタケカンパニーリミテド,3400,ガラス・土石製品,6,TOPIX Small 1
5332,ＴＯＴＯ,3400,ガラス・土石製品,4,TOPIX Mid400
5333,日本碍子,3400,ガラス・土石製品,4,TOPIX Mid400
5334,日本特殊陶業,3400,ガラス・土石製品,4,TOPIX Mid400
5337,ダントーホールディングス,3400,ガラス・土石製品,7,TOPIX Small 2
5344,ＭＡＲＵＷＡ,3400,ガラス・土石製品,6,TOPIX Small 1
5351,品川リフラクトリーズ,3400,ガラス・土石製品,7,TOPIX Small 2
5352,黒崎播磨,3400,ガラス・土石製品,7,TOPIX Small 2
5357,ヨータイ,3400,ガラス・土石製品,7,TOPIX Small 2
5358,イソライト工業,3400,ガラス・土石製品,7,TOPIX Small 2
5363,東京窯業,3400,ガラス・土石製品,7,TOPIX Small 2
5367,ニッカトー,3400,ガラス・土石製品,7,TOPIX Small 2
5384,フジミインコーポレーテッド,3400,ガラス・土石製品,6,TOPIX Small 1
5388,クニミネ工業,3400,ガラス・土石製品,7,TOPIX Small 2
5391,エーアンドエーマテリアル,3400,ガラス・土石製品,7,TOPIX Small 2
5393,ニチアス,3400,ガラス・土石製品,6,TOPIX Small 1
5401,日本製鉄,3450,鉄鋼,2,TOPIX Large70
5406,神戸製鋼所,3450,鉄鋼,4,TOPIX Mid400
5408,中山製鋼所,3450,鉄鋼,7,TOPIX Small 2
5410,合同製鐵,3450,鉄鋼,7,TOPIX Small 2
5411,ジェイ　エフ　イー　ホールディングス,3450,鉄鋼,4,TOPIX Mid400
5423,東京製鐵,3450,鉄鋼,6,TOPIX Small 1
5440,共英製鋼,3450,鉄鋼,6,TOPIX Small 1
5444,大和工業,3450,鉄鋼,4,TOPIX Mid400
5445,東京鐵鋼,3450,鉄鋼,7,TOPIX Small 2
5449,大阪製鐵,3450,鉄鋼,7,TOPIX Small 2
5451,淀川製鋼所,3450,鉄鋼,7,TOPIX Small 2
5463,丸一鋼管,3450,鉄鋼,4,TOPIX Mid400
5464,モリ工業,3450,鉄鋼,7,TOPIX Small 2
5471,大同特殊鋼,3450,鉄鋼,4,TOPIX Mid400
5476,日本高周波鋼業,3450,鉄鋼,7,TOPIX Small 2
5480,日本冶金工業,3450,鉄鋼,6,TOPIX Small 1
5481,山陽特殊製鋼,3450,鉄鋼,6,TOPIX Small 1
5482,愛知製鋼,3450,鉄鋼,7,TOPIX Small 2
5486,日立金属,3450,鉄鋼,4,TOPIX Mid400
5491,日本金属,3450,鉄鋼,7,TOPIX Small 2
5541,大平洋金属,3450,鉄鋼,6,TOPIX Small 1
5563,新日本電工,3450,鉄鋼,6,TOPIX Small 1
5602,栗本鐵工所,3450,鉄鋼,7,TOPIX Small 2
5603,虹技,3450,鉄鋼,7,TOPIX Small 2
5612,日本鋳鉄管,3450,鉄鋼,7,TOPIX Small 2
5631,日本製鋼所,3600,機械,4,TOPIX Mid400
5632,三菱製鋼,3450,鉄鋼,7,TOPIX Small 2
5658,日亜鋼業,3450,鉄鋼,7,TOPIX Small 2
5659,日本精線,3450,鉄鋼,7,TOPIX Small 2
5698,エンビプロ・ホールディングス,3450,鉄鋼,7,TOPIX Small 2
5702,大紀アルミニウム工業所,3500,非鉄金属,6,TOPIX Small 1
5703,日本軽金属ホールディングス,3500,非鉄金属,4,TOPIX Mid400
5706,三井金属鉱業,3500,非鉄金属,4,TOPIX Mid400
5707,東邦亜鉛,3500,非鉄金属,7,TOPIX Small 2
5711,三菱マテリアル,3500,非鉄金属,4,TOPIX Mid400
5713,住友金属鉱山,3500,非鉄金属,2,TOPIX Large70
5714,ＤＯＷＡホールディングス,3500,非鉄金属,4,TOPIX Mid400
5715,古河機械金属,3500,非鉄金属,6,TOPIX Small 1
5721,エス・サイエンス,3500,非鉄金属,7,TOPIX Small 2
5726,大阪チタニウムテクノロジーズ,3500,非鉄金属,7,TOPIX Small 2
5727,東邦チタニウム,3500,非鉄金属,6,TOPIX Small 1
5741,ＵＡＣＪ,3500,非鉄金属,6,TOPIX Small 1
5757,ＣＫサンエツ,3500,非鉄金属,7,TOPIX Small 2
5801,古河電気工業,3500,非鉄金属,4,TOPIX Mid400
5802,住友電気工業,3500,非鉄金属,2,TOPIX Large70
5803,フジクラ,3500,非鉄金属,6,TOPIX Small 1
5805,昭和電線ホールディングス,3500,非鉄金属,6,TOPIX Small 1
5807,東京特殊電線,3500,非鉄金属,7,TOPIX Small 2
5809,タツタ電線,3500,非鉄金属,7,TOPIX Small 2
5819,カナレ電気,3500,非鉄金属,7,TOPIX Small 2
5821,平河ヒューテック,3500,非鉄金属,7,TOPIX Small 2
5851,リョービ,3500,非鉄金属,6,TOPIX Small 1
5852,アーレスティ,3500,非鉄金属,7,TOPIX Small 2
5857,アサヒホールディングス,3500,非鉄金属,6,TOPIX Small 1
5901,東洋製罐グループホールディングス,3550,金属製品,4,TOPIX Mid400
5902,ホッカンホールディングス,3550,金属製品,7,TOPIX Small 2
5909,コロナ,3550,金属製品,7,TOPIX Small 2
5911,横河ブリッジホールディングス,3550,金属製品,6,TOPIX Small 1
5915,駒井ハルテック,3550,金属製品,7,TOPIX Small 2
5923,高田機工,3550,金属製品,7,TOPIX Small 2
5929,三和ホールディングス,3550,金属製品,4,TOPIX Mid400
5930,文化シヤッター,3550,金属製品,6,TOPIX Small 1
5932,三協立山,3550,金属製品,7,TOPIX Small 2
5933,アルインコ,3550,金属製品,7,TOPIX Small 2
5936,東洋シヤッター,3550,金属製品,7,TOPIX Small 2
5938,ＬＩＸＩＬ,3550,金属製品,4,TOPIX Mid400
5942,日本フイルコン,3550,金属製品,7,TOPIX Small 2
5943,ノーリツ,3550,金属製品,7,TOPIX Small 2
5946,長府製作所,3550,金属製品,7,TOPIX Small 2
5947,リンナイ,3550,金属製品,4,TOPIX Mid400
5949,ユニプレス,3700,輸送用機器,6,TOPIX Small 1
5951,ダイニチ工業,3550,金属製品,7,TOPIX Small 2
5957,日東精工,3550,金属製品,7,TOPIX Small 2
5958,三洋工業,3550,金属製品,7,TOPIX Small 2
5959,岡部,3550,金属製品,7,TOPIX Small 2
5970,ジーテクト,3550,金属製品,7,TOPIX Small 2
5975,東プレ,3550,金属製品,6,TOPIX Small 1
5976,高周波熱錬,3550,金属製品,7,TOPIX Small 2
5981,東京製綱,3550,金属製品,7,TOPIX Small 2
5985,サンコール,3550,金属製品,7,TOPIX Small 2
5986,モリテック　スチール,3550,金属製品,7,TOPIX Small 2
5988,パイオラックス,3550,金属製品,7,TOPIX Small 2
5989,エイチワン,3550,金属製品,7,TOPIX Small 2
5991,日本発條,3550,金属製品,4,TOPIX Mid400
5992,中央発條,3550,金属製品,7,TOPIX Small 2
5998,アドバネクス,3550,金属製品,7,TOPIX Small 2
6005,三浦工業,3600,機械,4,TOPIX Mid400
6013,タクマ,3600,機械,6,TOPIX Small 1
6028,テクノプロ・ホールディングス,9050,サービス業,4,TOPIX Mid400
6029,アトラグループ,9050,サービス業,7,TOPIX Small 2
6032,インターワークス,9050,サービス業,7,TOPIX Small 2
6035,アイ・アールジャパンホールディングス,9050,サービス業,6,TOPIX Small 1
6036,ＫｅｅＰｅｒ技研,9050,サービス業,6,TOPIX Small 1
6037,ファーストロジック,9050,サービス業,7,TOPIX Small 2
6044,三機サービス,9050,サービス業,7,TOPIX Small 2
6047,Ｇｕｎｏｓｙ,9050,サービス業,7,TOPIX Small 2
6048,デザインワン・ジャパン,9050,サービス業,7,TOPIX Small 2
6050,イー・ガーディアン,9050,サービス業,6,TOPIX Small 1
6054,リブセンス,9050,サービス業,7,TOPIX Small 2
6055,ジャパンマテリアル,9050,サービス業,6,TOPIX Small 1
6058,ベクトル,9050,サービス業,6,TOPIX Small 1
6059,ウチヤマホールディングス,9050,サービス業,7,TOPIX Small 2
6062,チャーム・ケア・コーポレーション,9050,サービス業,7,TOPIX Small 2
6070,キャリアリンク,9050,サービス業,7,TOPIX Small 2
6071,ＩＢＪ,9050,サービス業,7,TOPIX Small 2
6073,アサンテ,9050,サービス業,7,TOPIX Small 2
6078,バリューＨＲ,9050,サービス業,7,TOPIX Small 2
6080,Ｍ＆Ａキャピタルパートナーズ,9050,サービス業,6,TOPIX Small 1
6082,ライドオンエクスプレスホールディングス,9050,サービス業,7,TOPIX Small 2
6083,ＥＲＩホールディングス,9050,サービス業,7,TOPIX Small 2
6087,アビスト,9050,サービス業,7,TOPIX Small 2
6088,シグマクシス・ホールディングス,9050,サービス業,6,TOPIX Small 1
6089,ウィルグループ,9050,サービス業,7,TOPIX Small 2
6093,エスクロー・エージェント・ジャパン,9050,サービス業,7,TOPIX Small 2
6095,メドピア,9050,サービス業,6,TOPIX Small 1
6096,レアジョブ,9050,サービス業,7,TOPIX Small 2
6098,リクルートホールディングス,9050,サービス業,1,TOPIX Core30
6099,エラン,9050,サービス業,6,TOPIX Small 1
6101,ツガミ,3600,機械,6,TOPIX Small 1
6103,オークマ,3600,機械,4,TOPIX Mid400
6104,芝浦機械,3600,機械,6,TOPIX Small 1
6113,アマダ,3600,機械,4,TOPIX Mid400
6118,アイダエンジニアリング,3600,機械,6,TOPIX Small 1
6121,滝澤鉄工所,3600,機械,7,TOPIX Small 2
6134,ＦＵＪＩ,3600,機械,4,TOPIX Mid400
6135,牧野フライス製作所,3600,機械,6,TOPIX Small 1
6136,オーエスジー,3600,機械,4,TOPIX Mid400
6138,ダイジェット工業,3600,機械,7,TOPIX Small 2
6140,旭ダイヤモンド工業,3600,機械,6,TOPIX Small 1
6141,ＤＭＧ森精機,3600,機械,4,TOPIX Mid400
6143,ソディック,3600,機械,6,TOPIX Small 1
6146,ディスコ,3600,機械,4,TOPIX Mid400
6151,日東工器,3600,機械,7,TOPIX Small 2
6157,日進工具,3600,機械,7,TOPIX Small 2
6165,パンチ工業,3600,機械,7,TOPIX Small 2
6167,冨士ダイス,3600,機械,7,TOPIX Small 2
6171,土木管理総合試験所,9050,サービス業,7,TOPIX Small 2
6175,ネットマーケティング,9050,サービス業,7,TOPIX Small 2
6178,日本郵政,9050,サービス業,2,TOPIX Large70
6183,ベルシステム２４ホールディングス,9050,サービス業,6,TOPIX Small 1
6184,鎌倉新書,9050,サービス業,7,TOPIX Small 2
6185,ＳＭＮ,9050,サービス業,7,TOPIX Small 2
6186,一蔵,9050,サービス業,7,TOPIX Small 2
6189,グローバルキッズＣＯＭＰＡＮＹ,9050,サービス業,7,TOPIX Small 2
6191,エアトリ,9050,サービス業,6,TOPIX Small 1
6194,アトラエ,9050,サービス業,6,TOPIX Small 1
6196,ストライク,9050,サービス業,6,TOPIX Small 1
6197,ソラスト,9050,サービス業,6,TOPIX Small 1
6199,セラク,9050,サービス業,7,TOPIX Small 2
6200,インソース,9050,サービス業,6,TOPIX Small 1
6201,豊田自動織機,3700,輸送用機器,4,TOPIX Mid400
