コード,銘柄名,33業種コード,33業種区分,規模コード,規模区分
6203,豊和工業,3600,機械,7,TOPIX Small 2
6205,ＯＫＫ,3600,機械,7,TOPIX Small 2
6208,石川製作所,3600,機械,7,TOPIX Small 2
6210,東洋機械金属,3600,機械,7,TOPIX Small 2
6217,津田駒工業,3600,機械,7,TOPIX Small 2
6218,エンシュウ,3600,機械,7,TOPIX Small 2
6222,島精機製作所,3600,機械,6,TOPIX Small 1
6235,オプトラン,3600,機械,6,TOPIX Small 1
6236,ＮＣホールディングス,3600,機械,7,TOPIX Small 2
6237,イワキポンプ,3600,機械,7,TOPIX Small 2
6238,フリュー,3600,機械,6,TOPIX Small 1
6240,ヤマシンフィルタ,3600,機械,6,TOPIX Small 1
6247,日阪製作所,3600,機械,7,TOPIX Small 2
6250,やまびこ,3600,機械,7,TOPIX Small 2
6254,野村マイクロ・サイエンス,3600,機械,7,TOPIX Small 2
6258,平田機工,3600,機械,6,TOPIX Small 1
6262,ペガサスミシン製造,3600,機械,7,TOPIX Small 2
6264,マルマエ,3600,機械,7,TOPIX Small 2
6266,タツモ,3600,機械,7,TOPIX Small 2
6268,ナブテスコ,3600,機械,4,TOPIX Mid400
6269,三井海洋開発,3600,機械,6,TOPIX Small 1
6272,レオン自動機,3600,機械,6,TOPIX Small 1
6273,ＳＭＣ,3600,機械,1,TOPIX Core30
6277,ホソカワミクロン,3600,機械,6,TOPIX Small 1
6278,ユニオンツール,3600,機械,7,TOPIX Small 2
6282,オイレス工業,3600,機械,7,TOPIX Small 2
6284,日精エー・エス・ビー機械,3600,機械,6,TOPIX Small 1
6287,サトーホールディングス,3600,機械,6,TOPIX Small 1
6289,技研製作所,3600,機械,6,TOPIX Small 1
6291,日本エアーテック,3600,機械,7,TOPIX Small 2
6292,カワタ,3600,機械,7,TOPIX Small 2
6293,日精樹脂工業,3600,機械,7,TOPIX Small 2
6294,オカダアイヨン,3600,機械,7,TOPIX Small 2
6298,ワイエイシイホールディングス,3600,機械,7,TOPIX Small 2
6301,小松製作所,3600,機械,2,TOPIX Large70
6302,住友重機械工業,3600,機械,4,TOPIX Mid400
6305,日立建機,3600,機械,4,TOPIX Mid400
6306,日工,3600,機械,7,TOPIX Small 2
6309,巴工業,3600,機械,7,TOPIX Small 2
6310,井関農機,3600,機械,7,TOPIX Small 2
6315,ＴＯＷＡ,3600,機械,6,TOPIX Small 1
6316,丸山製作所,3600,機械,7,TOPIX Small 2
6317,北川鉄工所,3600,機械,7,TOPIX Small 2
6319,シンニッタン,3450,鉄鋼,7,TOPIX Small 2
6323,ローツェ,3600,機械,6,TOPIX Small 1
6325,タカキタ,3600,機械,7,TOPIX Small 2
6326,クボタ,3600,機械,2,TOPIX Large70
6328,荏原実業,3600,機械,7,TOPIX Small 2
6330,東洋エンジニアリング,2050,建設業,7,TOPIX Small 2
6331,三菱化工機,3600,機械,7,TOPIX Small 2
6332,月島機械,3600,機械,7,TOPIX Small 2
6333,帝国電機製作所,3600,機械,7,TOPIX Small 2
6335,東京機械製作所,3600,機械,7,TOPIX Small 2
6339,新東工業,3600,機械,7,TOPIX Small 2
6340,澁谷工業,3600,機械,6,TOPIX Small 1
6345,アイチ　コーポレーション,3600,機械,7,TOPIX Small 2
6349,小森コーポレーション,3600,機械,7,TOPIX Small 2
6351,鶴見製作所,3600,機械,7,TOPIX Small 2
6355,住友精密工業,3600,機械,7,TOPIX Small 2
6356,日本ギア工業,3600,機械,7,TOPIX Small 2
6358,酒井重工業,3600,機械,7,TOPIX Small 2
6361,荏原製作所,3600,機械,4,TOPIX Mid400
6362,石井鐵工所,3600,機械,7,TOPIX Small 2
6363,酉島製作所,3600,機械,7,TOPIX Small 2
6364,北越工業,3600,機械,7,TOPIX Small 2
6367,ダイキン工業,3600,機械,1,TOPIX Core30
6368,オルガノ,3600,機械,6,TOPIX Small 1
6369,トーヨーカネツ,3600,機械,7,TOPIX Small 2
6370,栗田工業,3600,機械,4,TOPIX Mid400
6371,椿本チエイン,3600,機械,6,TOPIX Small 1
6373,大同工業,3600,機械,7,TOPIX Small 2
6376,日機装,3750,精密機器,6,TOPIX Small 1
6378,木村化工機,3600,機械,7,TOPIX Small 2
6379,レイズネクスト,2050,建設業,7,TOPIX Small 2
6381,アネスト岩田,3600,機械,7,TOPIX Small 2
6383,ダイフク,3600,機械,4,TOPIX Mid400
6387,サムコ,3600,機械,7,TOPIX Small 2
6390,加藤製作所,3600,機械,7,TOPIX Small 2
6393,油研工業,3600,機械,7,TOPIX Small 2
6395,タダノ,3600,機械,4,TOPIX Mid400
6406,フジテック,3600,機械,4,TOPIX Mid400
6407,ＣＫＤ,3600,機械,6,TOPIX Small 1
6409,キトー,3600,機械,7,TOPIX Small 2
6412,平和,3600,機械,6,TOPIX Small 1
6413,理想科学工業,3600,機械,7,TOPIX Small 2
6417,ＳＡＮＫＹＯ,3600,機械,4,TOPIX Mid400
6418,日本金銭機械,3600,機械,7,TOPIX Small 2
6419,マースグループホールディングス,3600,機械,7,TOPIX Small 2
6420,フクシマガリレイ,3600,機械,7,TOPIX Small 2
6428,オーイズミ,3600,機械,7,TOPIX Small 2
6430,ダイコク電機,3600,機械,7,TOPIX Small 2
6432,竹内製作所,3600,機械,6,TOPIX Small 1
6436,アマノ,3600,機械,4,TOPIX Mid400
6440,ＪＵＫＩ,3600,機械,7,TOPIX Small 2
6444,サンデン,3600,機械,7,TOPIX Small 2
6445,ジャノメ,3600,機械,7,TOPIX Small 2
6448,ブラザー工業,3650,電気機器,4,TOPIX Mid400
6454,マックス,3600,機械,6,TOPIX Small 1
6455,モリタホールディングス,3700,輸送用機器,7,TOPIX Small 2
6457,グローリー,3600,機械,4,TOPIX Mid400
6458,新晃工業,3600,機械,7,TOPIX Small 2
6459,大和冷機工業,3600,機械,7,TOPIX Small 2
6460,セガサミーホールディングス,3600,機械,4,TOPIX Mid400
6461,日本ピストンリング,3600,機械,7,TOPIX Small 2
6462,リケン,3600,機械,7,TOPIX Small 2
6463,ＴＰＲ,3600,機械,6,TOPIX Small 1
6464,ツバキ・ナカシマ,3600,機械,6,TOPIX Small 1
6465,ホシザキ,3600,機械,4,TOPIX Mid400
6470,大豊工業,3600,機械,7,TOPIX Small 2
6471,日本精工,3600,機械,4,TOPIX Mid400
6472,ＮＴＮ,3600,機械,4,TOPIX Mid400
6473,ジェイテクト,3600,機械,4,TOPIX Mid400
6474,不二越,3600,機械,6,TOPIX Small 1
6479,ミネベアミツミ,3650,電気機器,4,TOPIX Mid400
6480,日本トムソン,3600,機械,6,TOPIX Small 1
6481,ＴＨＫ,3600,機械,4,TOPIX Mid400
6482,ユーシン精機,3600,機械,7,TOPIX Small 2
6485,前澤給装工業,3600,機械,7,TOPIX Small 2
6486,イーグル工業,3600,機械,6,TOPIX Small 1
6489,前澤工業,3600,機械,7,TOPIX Small 2
6490,日本ピラー工業,3600,機械,7,TOPIX Small 2
6498,キッツ,3600,機械,6,TOPIX Small 1
6501,日立製作所,3650,電気機器,1,TOPIX Core30
6502,東芝,3650,電気機器,2,TOPIX Large70
6503,三菱電機,3650,電気機器,2,TOPIX Large70
6504,富士電機,3650,電気機器,4,TOPIX Mid400
6505,東洋電機製造,3650,電気機器,7,TOPIX Small 2
6506,安川電機,3650,電気機器,4,TOPIX Mid400
6507,シンフォニアテクノロジー,3650,電気機器,6,TOPIX Small 1
6508,明電舎,3650,電気機器,6,TOPIX Small 1
6513,オリジン,3650,電気機器,7,TOPIX Small 2
6516,山洋電気,3650,電気機器,6,TOPIX Small 1
6517,デンヨー,3650,電気機器,7,TOPIX Small 2
6523,ＰＨＣホールディングス,3650,電気機器,7,TOPIX Small 2
6532,ベイカレント・コンサルティング,9050,サービス業,4,TOPIX Mid400
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,9050,サービス業,7,TOPIX Small 2
6535,アイモバイル,9050,サービス業,7,TOPIX Small 2
6538,キャリアインデックス,9050,サービス業,7,TOPIX Small 2
6539,ＭＳ－Ｊａｐａｎ,9050,サービス業,7,TOPIX Small 2
6540,船場,9050,サービス業,7,TOPIX Small 2
6541,グレイステクノロジー,9050,サービス業,6,TOPIX Small 1
6544,ジャパンエレベーターサービスホールディングス,9050,サービス業,6,TOPIX Small 1
6546,フルテック,9050,サービス業,7,TOPIX Small 2
6547,グリーンズ,9050,サービス業,7,TOPIX Small 2
6551,ツナググループ・ホールディングス,9050,サービス業,7,TOPIX Small 2
6552,ＧａｍｅＷｉｔｈ,9050,サービス業,7,TOPIX Small 2
6553,ソウルドアウト,9050,サービス業,7,TOPIX Small 2
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,9050,サービス業,7,TOPIX Small 2
6556,ウェルビー,9050,サービス業,7,TOPIX Small 2
6560,エル・ティー・エス,9050,サービス業,7,TOPIX Small 2
6564,ミダックホールディングス,9050,サービス業,6,TOPIX Small 1
6569,日総工産,9050,サービス業,7,TOPIX Small 2
6571,キュービーネットホールディングス,9050,サービス業,7,TOPIX Small 2
6572,ＲＰＡホールディングス,9050,サービス業,7,TOPIX Small 2
6584,三櫻工業,3700,輸送用機器,6,TOPIX Small 1
6586,マキタ,3600,機械,2,TOPIX Large70
6588,東芝テック,3650,電気機器,6,TOPIX Small 1
6590,芝浦メカトロニクス,3650,電気機器,6,TOPIX Small 1
6592,マブチモーター,3650,電気機器,4,TOPIX Mid400
6594,日本電産,3650,電気機器,1,TOPIX Core30
6615,ユー・エム・シー・エレクトロニクス,3650,電気機器,7,TOPIX Small 2
6616,トレックス・セミコンダクター,3650,電気機器,6,TOPIX Small 1
6617,東光高岳,3650,電気機器,7,TOPIX Small 2
6619,ダブル・スコープ,3650,電気機器,6,TOPIX Small 1
6620,宮越ホールディングス,8050,不動産業,7,TOPIX Small 2
6622,ダイヘン,3650,電気機器,6,TOPIX Small 1
6630,ヤーマン,3650,電気機器,6,TOPIX Small 1
6632,ＪＶＣケンウッド,3650,電気機器,6,TOPIX Small 1
6638,ミマキエンジニアリング,3650,電気機器,7,TOPIX Small 2
6640,Ｉ－ＰＥＸ,3650,電気機器,7,TOPIX Small 2
6641,日新電機,3650,電気機器,6,TOPIX Small 1
6644,大崎電気工業,3650,電気機器,7,TOPIX Small 2
6645,オムロン,3650,電気機器,2,TOPIX Large70
6651,日東工業,3650,電気機器,6,TOPIX Small 1
6652,ＩＤＥＣ,3650,電気機器,6,TOPIX Small 1
6653,正興電機製作所,3650,電気機器,7,TOPIX Small 2
6654,不二電機工業,3650,電気機器,7,TOPIX Small 2
6674,ジーエス・ユアサ　コーポレーション,3650,電気機器,4,TOPIX Mid400
6675,サクサホールディングス,3650,電気機器,7,TOPIX Small 2
6676,メルコホールディングス,3650,電気機器,7,TOPIX Small 2
6678,テクノメディカ,3650,電気機器,7,TOPIX Small 2
6699,ダイヤモンドエレクトリックホールディングス,3650,電気機器,7,TOPIX Small 2
6701,日本電気,3650,電気機器,4,TOPIX Mid400
6702,富士通,3650,電気機器,2,TOPIX Large70
6703,沖電気工業,3650,電気機器,6,TOPIX Small 1
6704,岩崎通信機,3650,電気機器,7,TOPIX Small 2
6706,電気興業,3650,電気機器,7,TOPIX Small 2
6707,サンケン電気,3650,電気機器,6,TOPIX Small 1
6715,ナカヨ,3650,電気機器,7,TOPIX Small 2
6718,アイホン,3650,電気機器,7,TOPIX Small 2
6723,ルネサスエレクトロニクス,3650,電気機器,4,TOPIX Mid400
6724,セイコーエプソン,3650,電気機器,4,TOPIX Mid400
6727,ワコム,3650,電気機器,6,TOPIX Small 1
6728,アルバック,3650,電気機器,4,TOPIX Mid400
6730,アクセル,3650,電気機器,7,TOPIX Small 2
6737,ＥＩＺＯ,3650,電気機器,6,TOPIX Small 1
6740,ジャパンディスプレイ,3650,電気機器,6,TOPIX Small 1
6741,日本信号,3650,電気機器,6,TOPIX Small 1
6742,京三製作所,3650,電気機器,7,TOPIX Small 2
6744,能美防災,3650,電気機器,6,TOPIX Small 1
6745,ホーチキ,3650,電気機器,7,TOPIX Small 2
6748,星和電機,3650,電気機器,7,TOPIX Small 2
6750,エレコム,3650,電気機器,6,TOPIX Small 1
6752,パナソニック,3650,電気機器,2,TOPIX Large70
6753,シャープ,3650,電気機器,4,TOPIX Mid400
6754,アンリツ,3650,電気機器,4,TOPIX Mid400
6755,富士通ゼネラル,3650,電気機器,4,TOPIX Mid400
6758,ソニーグループ,3650,電気機器,1,TOPIX Core30
6762,ＴＤＫ,3650,電気機器,4,TOPIX Mid400
6763,帝国通信工業,3650,電気機器,7,TOPIX Small 2
6768,タムラ製作所,3650,電気機器,6,TOPIX Small 1
6770,アルプスアルパイン,3650,電気機器,4,TOPIX Mid400
6771,池上通信機,3650,電気機器,7,TOPIX Small 2
6779,日本電波工業,3650,電気機器,7,TOPIX Small 2
6785,鈴木,3650,電気機器,7,TOPIX Small 2
6787,メイコー,3650,電気機器,6,TOPIX Small 1
6788,日本トリム,3650,電気機器,7,TOPIX Small 2
6789,ローランド　ディー．ジー．,3650,電気機器,7,TOPIX Small 2
6794,フォスター電機,3650,電気機器,7,TOPIX Small 2
6798,ＳＭＫ,3650,電気機器,7,TOPIX Small 2
6800,ヨコオ,3650,電気機器,6,TOPIX Small 1
6803,ティアック,3650,電気機器,7,TOPIX Small 2
6804,ホシデン,3650,電気機器,6,TOPIX Small 1
6806,ヒロセ電機,3650,電気機器,4,TOPIX Mid400
6807,日本航空電子工業,3650,電気機器,6,TOPIX Small 1
6809,ＴＯＡ,3650,電気機器,7,TOPIX Small 2
6810,マクセル,3650,電気機器,6,TOPIX Small 1
6814,古野電気,3650,電気機器,6,TOPIX Small 1
6815,ユニデンホールディングス,3650,電気機器,7,TOPIX Small 2
6817,スミダコーポレーション,3650,電気機器,6,TOPIX Small 1
6820,アイコム,3650,電気機器,7,TOPIX Small 2
6823,リオン,3650,電気機器,7,TOPIX Small 2
6826,本多通信工業,3650,電気機器,7,TOPIX Small 2
6841,横河電機,3650,電気機器,4,TOPIX Mid400
6844,新電元工業,3650,電気機器,6,TOPIX Small 1
6845,アズビル,3650,電気機器,4,TOPIX Mid400
6848,東亜ディーケーケー,3650,電気機器,7,TOPIX Small 2
6849,日本光電工業,3650,電気機器,4,TOPIX Mid400
6850,チノー,3650,電気機器,7,TOPIX Small 2
6853,共和電業,3650,電気機器,7,TOPIX Small 2
6855,日本電子材料,3650,電気機器,7,TOPIX Small 2
6856,堀場製作所,3650,電気機器,4,TOPIX Mid400
6857,アドバンテスト,3650,電気機器,4,TOPIX Mid400
6858,小野測器,3650,電気機器,7,TOPIX Small 2
6859,エスペック,3650,電気機器,6,TOPIX Small 1
6861,キーエンス,3650,電気機器,1,TOPIX Core30
6866,日置電機,3650,電気機器,7,TOPIX Small 2
6869,シスメックス,3650,電気機器,2,TOPIX Large70
6871,日本マイクロニクス,3650,電気機器,6,TOPIX Small 1
6875,メガチップス,3650,電気機器,6,TOPIX Small 1
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,3650,電気機器,6,TOPIX Small 1
6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,5250,情報・通信業,7,TOPIX Small 2
6901,澤藤電機,3650,電気機器,7,TOPIX Small 2
6902,デンソー,3700,輸送用機器,2,TOPIX Large70
6904,原田工業,3650,電気機器,7,TOPIX Small 2
6905,コーセル,3650,電気機器,6,TOPIX Small 1
6908,イリソ電子工業,3650,電気機器,6,TOPIX Small 1
6914,オプテックスグループ,3650,電気機器,6,TOPIX Small 1
6915,千代田インテグレ,3650,電気機器,7,TOPIX Small 2
6916,アイ・オー・データ機器,3650,電気機器,7,TOPIX Small 2
6920,レーザーテック,3650,電気機器,2,TOPIX Large70
6923,スタンレー電気,3650,電気機器,4,TOPIX Mid400
6924,岩崎電気,3650,電気機器,7,TOPIX Small 2
6925,ウシオ電機,3650,電気機器,4,TOPIX Mid400
6926,岡谷電機産業,3650,電気機器,7,TOPIX Small 2
6927,ヘリオス　テクノ　ホールディング,3650,電気機器,7,TOPIX Small 2
6928,エノモト,3650,電気機器,7,TOPIX Small 2
6929,日本セラミック,3650,電気機器,6,TOPIX Small 1
6932,遠藤照明,3650,電気機器,7,TOPIX Small 2
6937,古河電池,3650,電気機器,7,TOPIX Small 2
6938,双信電機,3650,電気機器,7,TOPIX Small 2
6941,山一電機,3650,電気機器,7,TOPIX Small 2
6947,図研,3650,電気機器,7,TOPIX Small 2
6951,日本電子,3650,電気機器,4,TOPIX Mid400
6952,カシオ計算機,3650,電気機器,4,TOPIX Mid400
6954,ファナック,3650,電気機器,1,TOPIX Core30
6958,日本シイエムケイ,3650,電気機器,7,TOPIX Small 2
6961,エンプラス,3650,電気機器,6,TOPIX Small 1
6962,大真空,3650,電気機器,6,TOPIX Small 1
6963,ローム,3650,電気機器,4,TOPIX Mid400
6965,浜松ホトニクス,3650,電気機器,4,TOPIX Mid400
6966,三井ハイテック,3650,電気機器,6,TOPIX Small 1
6967,新光電気工業,3650,電気機器,4,TOPIX Mid400
6971,京セラ,3650,電気機器,2,TOPIX Large70
6973,協栄産業,6050,卸売業,7,TOPIX Small 2
6976,太陽誘電,3650,電気機器,4,TOPIX Mid400
6981,村田製作所,3650,電気機器,1,TOPIX Core30
6986,双葉電子工業,3650,電気機器,7,TOPIX Small 2
6988,日東電工,3200,化学,4,TOPIX Mid400
6989,北陸電気工業,3650,電気機器,7,TOPIX Small 2
6995,東海理化電機製作所,3700,輸送用機器,6,TOPIX Small 1
6996,ニチコン,3650,電気機器,6,TOPIX Small 1
6997,日本ケミコン,3650,電気機器,6,TOPIX Small 1
6999,ＫＯＡ,3650,電気機器,6,TOPIX Small 1
7003,三井Ｅ＆Ｓホールディングス,3600,機械,6,TOPIX Small 1
7004,日立造船,3600,機械,6,TOPIX Small 1
7011,三菱重工業,3600,機械,2,TOPIX Large70
7012,川崎重工業,3700,輸送用機器,4,TOPIX Mid400
7013,ＩＨＩ,3600,機械,4,TOPIX Mid400
7014,名村造船所,3700,輸送用機器,7,TOPIX Small 2
7022,サノヤスホールディングス,3600,機械,7,TOPIX Small 2
7030,スプリックス,9050,サービス業,7,TOPIX Small 2
7033,マネジメントソリューションズ,9050,サービス業,6,TOPIX Small 1
7034,プロレド・パートナーズ,9050,サービス業,7,TOPIX Small 2
7035,ａｎｄ　ｆａｃｔｏｒｙ,9050,サービス業,7,TOPIX Small 2
7037,テノ．ホールディングス,9050,サービス業,7,TOPIX Small 2
7038,フロンティア・マネジメント,9050,サービス業,7,TOPIX Small 2
7044,ピアラ,9050,サービス業,7,TOPIX Small 2
7059,コプロ・ホールディングス,9050,サービス業,7,TOPIX Small 2
7060,ギークス,9050,サービス業,7,TOPIX Small 2
7085,カーブスホールディングス,9050,サービス業,6,TOPIX Small 1
7088,フォーラムエンジニアリング,9050,サービス業,7,TOPIX Small 2
7092,Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,9050,サービス業,7,TOPIX Small 2
7102,日本車輌製造,3700,輸送用機器,7,TOPIX Small 2
7105,三菱ロジスネクスト,3700,輸送用機器,6,TOPIX Small 1
7122,近畿車輛,3700,輸送用機器,7,TOPIX Small 2
7127,一家ホールディングス,6100,小売業,7,TOPIX Small 2
7128,フルサト・マルカホールディングス,6050,卸売業,7,TOPIX Small 2
7130,ヤマエグループホールディングス,6050,卸売業,7,TOPIX Small 2
7135,藤久ホールディングス,6100,小売業,7,TOPIX Small 2
7148,ＦＰＧ,7100,証券、商品先物取引業,6,TOPIX Small 1
7150,島根銀行,7050,銀行業,7,TOPIX Small 2
7161,じもとホールディングス,7050,銀行業,7,TOPIX Small 2
7164,全国保証,7200,その他金融業,4,TOPIX Mid400
7167,めぶきフィナンシャルグループ,7050,銀行業,4,TOPIX Mid400
7172,ジャパンインベストメントアドバイザー,7100,証券、商品先物取引業,7,TOPIX Small 2
7173,東京きらぼしフィナンシャルグループ,7050,銀行業,7,TOPIX Small 2
7180,九州フィナンシャルグループ,7050,銀行業,4,TOPIX Mid400
7181,かんぽ生命保険,7150,保険業,4,TOPIX Mid400
7182,ゆうちょ銀行,7050,銀行業,4,TOPIX Mid400
7183,あんしん保証,7200,その他金融業,7,TOPIX Small 2
7184,富山第一銀行,7050,銀行業,7,TOPIX Small 2
7186,コンコルディア・フィナンシャルグループ,7050,銀行業,4,TOPIX Mid400
7187,ジェイリース,7200,その他金融業,7,TOPIX Small 2
7189,西日本フィナンシャルホールディングス,7050,銀行業,6,TOPIX Small 1
7191,イントラスト,7200,その他金融業,7,TOPIX Small 2
7192,日本モーゲージサービス,7200,その他金融業,7,TOPIX Small 2
7196,Ｃａｓａ,7200,その他金融業,7,TOPIX Small 2
7198,アルヒ,7200,その他金融業,6,TOPIX Small 1
7199,プレミアグループ,7200,その他金融業,6,TOPIX Small 1
7201,日産自動車,3700,輸送用機器,2,TOPIX Large70
7202,いすゞ自動車,3700,輸送用機器,4,TOPIX Mid400
7203,トヨタ自動車,3700,輸送用機器,1,TOPIX Core30
7205,日野自動車,3700,輸送用機器,4,TOPIX Mid400
7211,三菱自動車工業,3700,輸送用機器,4,TOPIX Mid400
7212,エフテック,3700,輸送用機器,7,TOPIX Small 2
7213,レシップホールディングス,3700,輸送用機器,7,TOPIX Small 2
7214,ＧＭＢ,3700,輸送用機器,7,TOPIX Small 2
7215,ファルテック,3700,輸送用機器,7,TOPIX Small 2
7220,武蔵精密工業,3700,輸送用機器,6,TOPIX Small 1
7222,日産車体,3700,輸送用機器,7,TOPIX Small 2
7224,新明和工業,3700,輸送用機器,6,TOPIX Small 1
7226,極東開発工業,3700,輸送用機器,7,TOPIX Small 2
7231,トピー工業,3700,輸送用機器,7,TOPIX Small 2
7236,ティラド,3700,輸送用機器,7,TOPIX Small 2
7238,曙ブレーキ工業,3700,輸送用機器,7,TOPIX Small 2
7239,タチエス,3700,輸送用機器,7,TOPIX Small 2
7240,ＮＯＫ,3700,輸送用機器,4,TOPIX Mid400
7241,フタバ産業,3700,輸送用機器,6,TOPIX Small 1
7242,ＫＹＢ,3700,輸送用機器,6,TOPIX Small 1
7244,市光工業,3650,電気機器,7,TOPIX Small 2
7245,大同メタル工業,3700,輸送用機器,7,TOPIX Small 2
7246,プレス工業,3700,輸送用機器,6,TOPIX Small 1
7247,ミクニ,3700,輸送用機器,7,TOPIX Small 2
7250,太平洋工業,3700,輸送用機器,6,TOPIX Small 1
7256,河西工業,3700,輸送用機器,7,TOPIX Small 2
7259,アイシン,3700,輸送用機器,4,TOPIX Mid400
7261,マツダ,3700,輸送用機器,4,TOPIX Mid400
7266,今仙電機製作所,3700,輸送用機器,7,TOPIX Small 2
7267,本田技研工業,3700,輸送用機器,1,TOPIX Core30
7269,スズキ,3700,輸送用機器,2,TOPIX Large70
7270,ＳＵＢＡＲＵ,3700,輸送用機器,2,TOPIX Large70
7271,安永,3700,輸送用機器,7,TOPIX Small 2
